Complex ID,GTFS Stop ID,Division,Line,Stop Name,Borough,Daytime Routes,Structure,GTFS Latitude,GTFS Longitude
26,R30,BMT,Broadway - Brighton,DeKalb Av,Bk,B Q R,Subway,40.690635,-73.981824
617,D24,BMT,Broadway - Brighton,Atlantic Av - Barclays Ctr,Bk,B Q,Subway,40.68446,-73.97689
41,D25,BMT,Broadway - Brighton,7 Av,Bk,B Q,Subway,40.67705,-73.972367
42,D26,BMT,Broadway - Brighton,Prospect Park,Bk,B Q,Open Cut,40.661614,-73.962246
43,D27,BMT,Broadway - Brighton,Parkside Av,Bk,B Q,Open Cut,40.655292,-73.961495
44,D28,BMT,Broadway - Brighton,Church Av,Bk,B Q,Open Cut,40.650527,-73.962982
45,D29,BMT,Broadway - Brighton,Beverley Rd,Bk,B Q,Open Cut,40.644031,-73.964492
46,D30,BMT,Broadway - Brighton,Cortelyou Rd,Bk,B Q,Open Cut,40.640927,-73.963891
47,D31,BMT,Broadway - Brighton,Newkirk Plaza,Bk,B Q,Open Cut,40.635082,-73.962793
48,D32,BMT,Broadway - Brighton,Avenue H,Bk,B Q,Open Cut,40.62927,-73.961639
49,D33,BMT,Broadway - Brighton,Avenue J,Bk,B Q,Open Cut,40.625039,-73.960803
50,D34,BMT,Broadway - Brighton,Avenue M,Bk,B Q,Open Cut,40.617618,-73.959399
51,D35,BMT,Broadway - Brighton,Kings Hwy,Bk,B Q,Open Cut,40.60867,-73.957734
52,D37,BMT,Broadway - Brighton,Avenue U,Bk,B Q,Open Cut,40.5993,-73.955929
53,D38,BMT,Broadway - Brighton,Neck Rd,Bk,B Q,Open Cut,40.595246,-73.955161
54,D39,BMT,Broadway - Brighton,Sheepshead Bay,Bk,B Q,Open Cut,40.586896,-73.954155
55,D40,BMT,Broadway - Brighton,Brighton Beach,Bk,B Q,Elevated,40.577621,-73.961376
151,D13,IND,Concourse,145 St,M,B D,Subway,40.824783,-73.944216
152,A14,IND,8th Av - Fulton St,135 St,M,B C,Subway,40.817894,-73.947649
153,A15,IND,8th Av - Fulton St,125 St,M,A B C D,Subway,40.811109,-73.952343
154,A16,IND,8th Av - Fulton St,116 St,M,B C,Subway,40.805085,-73.954882
155,A17,IND,8th Av - Fulton St,Cathedral Pkwy (110 St),M,B C,Subway,40.800603,-73.958161
156,A18,IND,8th Av - Fulton St,103 St,M,B C,Subway,40.796092,-73.961454
157,A19,IND,8th Av - Fulton St,96 St,M,B C,Subway,40.791642,-73.964696
158,A20,IND,8th Av - Fulton St,86 St,M,B C,Subway,40.785868,-73.968916
159,A21,IND,8th Av - Fulton St,81 St - Museum of Natural History,M,B C,Subway,40.781433,-73.972143
160,A22,IND,8th Av - Fulton St,72 St,M,B C,Subway,40.775594,-73.97641
614,A24,IND,8th Av - Fulton St,59 St - Columbus Circle,M,A B C D,Subway,40.768296,-73.981736
167,D20,IND,6th Av - Culver,W 4 St,M,B D F M,Subway,40.732338,-74.000495
211,D03,IND,Concourse,Bedford Park Blvd,Bx,B D,Subway,40.873244,-73.887138
212,D04,IND,Concourse,Kingsbridge Rd,Bx,B D,Subway,40.866978,-73.893509
213,D05,IND,Concourse,Fordham Rd,Bx,B D,Subway,40.861296,-73.897749
214,D06,IND,Concourse,182-183 Sts,Bx,B D,Subway,40.856093,-73.900741
215,D07,IND,Concourse,Tremont Av,Bx,B D,Subway,40.85041,-73.905227
216,D08,IND,Concourse,174-175 Sts,Bx,B D,Subway,40.8459,-73.910136
217,D09,IND,Concourse,170 St,Bx,B D,Subway,40.839306,-73.9134
218,D10,IND,Concourse,167 St,Bx,B D,Subway,40.833771,-73.91844
604,D11,IND,Concourse,161 St - Yankee Stadium,Bx,B D,Subway,40.827905,-73.925651
220,D12,IND,Concourse,155 St,M,B D,Subway,40.830135,-73.938209
225,D15,IND,6th Av - Culver,47-50 Sts - Rockefeller Ctr,M,B D F M,Subway,40.758663,-73.981329
609,D16,IND,6th Av - Culver,42 St - Bryant Pk,M,B D F M,Subway,40.754222,-73.984569
607,D17,IND,6th Av - Culver,34 St - Herald Sq,M,B D F M,Subway,40.749719,-73.987823
619,D21,IND,6th Av - Culver,Broadway-Lafayette St,M,B D F M,Subway,40.725297,-73.996204
231,D22,IND,6th Av - Culver,Grand St,M,B D,Subway,40.718267,-73.993753
277,D14,IND,Queens Blvd,7 Av,M,B D E,Subway,40.762862,-73.981637
